Review Title,Up Votes,Down Votes,Review text,Ratings,clean_review,sentiment
Must buy!,0.0,0.0,Good 👍👍👍READ MORE,5,good read,Positive
Not recommended at all,0.0,0.0,"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttleREAD MORE",1,dont buy worst purchase ever cant play one game shuttleread,Negative
Fabulous!,0.0,1.0,👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸READ MORE,5,shuttlecock nice long durability value moneyread,Positive
Terrific purchase,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Mind-blowing purchase,0.0,0.0,Best shuttles for indoor gamesREAD MORE,5,best shuttles indoor gamesread,Positive
Worthless,0.0,0.0,quality poorREAD MORE,1,quality poorread,Negative
Terrific,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Wonderful,0.0,0.0,Very good product without any confusionREAD MORE,5,good product without confusionread,Positive
Must buy!,0.0,0.0,It's the s good qualityREAD MORE,5,good qualityread,Positive
Very poor,0.0,0.0,Quality of the product was too badREAD MORE,1,quality product badread,Negative
Highly recommended,0.0,0.0,Bad qualityREAD MORE,5,bad qualityread,Positive
Wonderful,0.0,0.0,Wonderful product 👍👍READ MORE,4,wonderful product read,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Best in the market!,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Delightful,0.0,0.0,Nice product. fast deliveryREAD MORE,4,nice product fast deliveryread,Positive
Terrible product,0.0,0.0,Very bad quality shuttle Torn the mesh only within 3gamesREAD MORE,1,bad quality shuttle torn mesh within gamesread,Negative
Worth every penny,0.0,0.0,It was originalREAD MORE,5,originalread,Positive
Perfect product!,0.0,0.0,Genuine product performed as expectedREAD MORE,5,genuine product performed expectedread,Positive
Super!,0.0,0.0,full mostiREAD MORE,5,full mostiread,Positive
Worth every penny,0.0,0.0,Nice oneREAD MORE,5,nice oneread,Positive
Mind-blowing purchase,0.0,0.0,SuperREAD MORE,5,superread,Positive
Fabulous!,0.0,0.0,Received the original product and it’s awesome.READ MORE,5,received original product awesomeread,Positive
Highly recommended,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Perfect product!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Fabulous!,0.0,0.0,OriginalREAD MORE,5,originalread,Positive
Bad quality,0.0,0.0,Base of shuttle is very low quality.READ MORE,2,base shuttle low qualityread,Negative
Slightly disappointed,0.0,0.0,Quality not goodREAD MORE,2,quality goodread,Negative
Moderate,0.0,0.0,Bad colourREAD MORE,2,bad colourread,Negative
Classy product,0.0,0.0,Good qualityREAD MORE,5,good qualityread,Positive
Horrible,0.0,0.0,Not expected that yonex sales such default shuttlesREAD MORE,1,expected yonex sales default shuttlesread,Negative
Really Nice,0.0,0.0,Orginal item goodREAD MORE,4,orginal item goodread,Positive
Mind-blowing purchase,0.0,0.0,Very good product One shuttle you have to play minimum ten gsmesREAD MORE,5,good product one shuttle play minimum ten gsmesread,Positive
Value-for-money,0.0,0.0,BestREAD MORE,4,bestread,Positive
Moderate,0.0,0.0,"Really bad experience,,  some of them is very poor quality..  Don't go for itREAD MORE",2,really bad experience poor quality dont go itread,Negative
Excellent,0.0,0.0,Super shuttleREAD MORE,5,super shuttleread,Positive
Pretty good,0.0,0.0,It's awesomeREAD MORE,4,awesomeread,Positive
Highly recommended,0.0,0.0,SupportREAD MORE,5,supportread,Positive
Super!,0.0,0.0,Best shuttleREAD MORE,5,best shuttleread,Positive
Just okay,0.0,0.0,Very bad quality and very high price not acceptable this range .READ MORE,3,bad quality high price acceptable range read,Neutral
Excellent,0.0,0.0,PerfectREAD MORE,5,perfectread,Positive
Brilliant,0.0,0.0,Nice productREAD MORE,5,nice productread,Positive
Good choice,0.0,0.0,Very good product.READ MORE,4,good productread,Positive
Hated it!,0.0,0.0,All shuttles were too bad. They are breaking easily after 3-4 gamesREAD MORE,1,shuttles bad breaking easily gamesread,Negative
Could be way better,0.0,0.0,Quality of this  product purchased online is poor as compared to offline stores.👎🏼READ MORE,2,quality product purchased online poor compared offline storesread,Negative
Does the job,0.0,0.0,Cork is slowREAD MORE,3,cork slowread,Neutral
Just okay,0.0,0.0,Not DurableREAD MORE,3,durableread,Neutral
Terrific purchase,0.0,0.0,Long lasts than other nylon shuttleREAD MORE,5,long lasts nylon shuttleread,Positive
Fabulous!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Really Nice,0.0,0.0,Good 👍READ MORE,4,good read,Positive
Awesome,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Simply awesome,0.0,0.0,Genuine product and no used ones luckilyREAD MORE,5,genuine product used ones luckilyread,Positive
Good,0.0,0.0,GoodREAD MORE,3,goodread,Neutral
Best in the market!,0.0,0.0,Good jobREAD MORE,5,good jobread,Positive
Awesome,0.0,0.0,Very bad qualityREAD MORE,5,bad qualityread,Positive
Good choice,0.0,0.0,NiceREAD MORE,4,niceread,Positive
Perfect product!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Just wow!,0.0,0.0,Thanks for delivery in timeREAD MORE,5,thanks delivery timeread,Positive
Simply awesome,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Super!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Very Good,0.0,0.0,It's niceREAD MORE,4,niceread,Positive
Best in the market!,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Best in the market!,0.0,0.0,Great stuff♥️READ MORE,5,great stuffread,Positive
Perfect product!,0.0,0.0,Nice tqREAD MORE,5,nice tqread,Positive
Must buy!,0.0,0.0,Long lastingREAD MORE,5,long lastingread,Positive
Super!,0.0,0.0,Good product but his price is very high...READ MORE,5,good product price highread,Positive
Terrific purchase,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Simply awesome,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Excellent,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Classy product,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Decent product,0.0,0.0,NiceREAD MORE,3,niceread,Neutral
Very Good,0.0,0.0,An original yonex shuttle. Decent price as compared to the market. Durability is not that much. It would hardly last 6-7 matches at max. But the flight path is very predictable and is a very good option and more durable in comparison to the feather shuttle.READ MORE,4,original yonex shuttle decent price compared market durability much would hardly last matches max flight path predictable good option durable comparison feather shuttleread,Positive
Awesome,0.0,0.0,Mind blowingREAD MORE,5,mind blowingread,Positive
Does the job,0.0,0.0,Didn't last long. Normaly one shuttle is good for 3 day but this one work for 1 day only. And every time shuttle got destroyed it always got broke from from part only.READ MORE,3,didnt last long normaly one shuttle good day one work day every time shuttle got destroyed always got broke part onlyread,Neutral
Brilliant,0.0,0.0,Very good.READ MORE,5,goodread,Positive
Best in the market!,0.0,0.0,Good one I like itREAD MORE,5,good one like itread,Positive
Brilliant,0.0,0.0,Very nice productsREAD MORE,5,nice productsread,Positive
Awesome,0.0,0.0,Got original productREAD MORE,5,got original productread,Positive
Does the job,0.0,0.0,Little slow than normal shuttle.READ MORE,3,little slow normal shuttleread,Neutral
Perfect product!,0.0,0.0,Well brandREAD MORE,5,well brandread,Positive
Really Nice,0.0,0.0,Nice productREAD MORE,4,nice productread,Positive
Awesome,0.0,0.0,This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttlesREAD MORE,5,fourth order recieved rupees shuttlesread,Positive
Simply awesome,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Really Nice,0.0,0.0,Good qualityREAD MORE,4,good qualityread,Positive
Excellent,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Excellent,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Not good,0.0,0.0,All got broken so soon.READ MORE,2,got broken soonread,Negative
Wonderful,0.0,0.0,Good quality 👍READ MORE,5,good quality read,Positive
Good choice,0.0,0.0,Good quality. Delivered on time .READ MORE,4,good quality delivered time read,Positive
Perfect product!,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Could be way better,0.0,0.0,Unlike my earlier purchases this is not even lasting for  2 days .READ MORE,2,unlike earlier purchases even lasting days read,Negative
Unsatisfactory,0.0,0.0,Low quality... don't buy online😖READ MORE,1,low quality dont buy onlineread,Negative
Terrific,0.0,0.0,Looks genuine with great qualityREAD MORE,5,looks genuine great qualityread,Positive
Simply awesome,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Expected a better product,0.0,0.0,Quality is very poor..READ MORE,2,quality poorread,Negative
Bad quality,0.0,0.0,No goodREAD MORE,2,goodread,Negative
Pretty good,0.0,0.0,SuperbREAD MORE,4,superbread,Positive
Decent product,0.0,0.0,GoodREAD MORE,3,goodread,Neutral
Nice,0.0,0.0,Good Product but Delivery is too late...READ MORE,3,good product delivery lateread,Neutral
Awesome,0.0,0.0,This is the original product. Buy with no hesitationREAD MORE,5,original product buy hesitationread,Positive
Just wow!,0.0,0.0,Very nice and good quality service.....thanks flipkart and team.READ MORE,5,nice good quality servicethanks flipkart teamread,Positive
Pretty good,0.0,0.0,Super ❤️READ MORE,4,super read,Positive
Nice product,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Wonderful,0.0,0.0,FineREAD MORE,5,fineread,Positive
Super!,0.0,0.0,Too goodREAD MORE,5,goodread,Positive
Did not meet expectations,0.0,0.0,Bad product..... Waste of money😡Don't buy this productREAD MORE,1,bad product waste moneydont buy productread,Negative
Awesome,0.0,0.0,Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍READ MORE,5,nice product delivered day super super super read,Positive
Fabulous!,0.0,0.0,SuperREAD MORE,5,superread,Positive
Wonderful,0.0,0.0,Its good but slow moveREAD MORE,4,good slow moveread,Positive
Mind-blowing purchase,0.0,0.0,SuperREAD MORE,5,superread,Positive
Terrific purchase,0.0,0.0,Good boyREAD MORE,5,good boyread,Positive
Wonderful,0.0,0.0,niceREAD MORE,5,niceread,Positive
Value-for-money,0.0,0.0,Very good qualityREAD MORE,4,good qualityread,Positive
Classy product,0.0,0.0,Original product.  Liked itREAD MORE,5,original product liked itread,Positive
Fair,0.0,0.0,Durability is very poor in compare with before...READ MORE,3,durability poor compare beforeread,Neutral
Good choice,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Wonderful,0.0,0.0,This easy to playREAD MORE,5,easy playread,Positive
Classy product,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Simply awesome,0.0,0.0,Good product. Original Yonex.READ MORE,5,good product original yonexread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Wonderful,0.0,0.0,As usual it's a good one. Its YonexREAD MORE,4,usual good one yonexread,Positive
Must buy!,0.0,0.0,BestREAD MORE,5,bestread,Positive
Must buy!,0.0,0.0,nice shuttle for reasonable price. the flight doesnt alter much even after 6 or 7 games. far better than those purchased from local storesREAD MORE,5,nice shuttle reasonable price flight doesnt alter much even games far better purchased local storesread,Positive
Fabulous!,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Brilliant,0.0,0.0,Best shuttle for practiceREAD MORE,5,best shuttle practiceread,Positive
Perfect product!,0.0,0.0,Marvellous product.READ MORE,5,marvellous productread,Positive
Perfect product!,0.0,0.0,Good oneREAD MORE,5,good oneread,Positive
Worthless,0.0,0.0,Quality not goodREAD MORE,1,quality goodread,Negative
Brilliant,0.0,0.0,SuperREAD MORE,5,superread,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Simply awesome,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Simply awesome,0.0,0.0,Awesome product 👍🏻READ MORE,5,awesome product read,Positive
Highly recommended,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Hated it!,0.0,0.0,poor QualityREAD MORE,1,poor qualityread,Negative
Could be way better,0.0,0.0,Product quantity to badREAD MORE,2,product quantity badread,Negative
Excellent,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Value-for-money,0.0,0.0,Nice productREAD MORE,4,nice productread,Positive
Classy product,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Highly recommended,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Delightful,0.0,0.0,BestREAD MORE,4,bestread,Positive
Hated it!,0.0,0.0,not goodREAD MORE,1,goodread,Negative
Don't waste your money,0.0,0.0,Not that good ququalityREAD MORE,1,good ququalityread,Negative
Nice product,0.0,0.0,SuperREAD MORE,4,superread,Positive
Really Nice,0.0,0.0,genuine product thank you flipkartREAD MORE,4,genuine product thank flipkartread,Positive
Just wow!,0.0,0.0,I'm an intermediate player. The shuttle easily lasts for 10-15 games without any problem. Can be used for casual outdoor games.READ MORE,5,im intermediate player shuttle easily lasts games without problem used casual outdoor gamesread,Positive
Classy product,0.0,0.0,Best!READ MORE,5,bestread,Positive
Good,0.0,0.0,Not badREAD MORE,3,badread,Neutral
Fabulous!,0.0,0.0,GREAT SELLER REPLACEMENT DELIVERY IN 2 daysREAD MORE,5,great seller replacement delivery daysread,Positive
Good choice,0.0,0.0,Good QualityREAD MORE,4,good qualityread,Positive
Perfect product!,0.0,0.0,Nice qualityREAD MORE,5,nice qualityread,Positive
Just wow!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Waste of money!,0.0,0.0,"Instead of Mavis 350,I got Mavis 2000i.That product is also duplicate. I am quite frustrated. Please don't buy this product.READ MORE",1,instead mavis got mavis ithat product also duplicate quite frustrated please dont buy productread,Negative
Unsatisfactory,0.0,0.0,AverageREAD MORE,1,averageread,Negative
Fabulous!,0.0,0.0,Best qualityREAD MORE,5,best qualityread,Positive
Worth every penny,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Classy product,0.0,0.0,Amazing priceREAD MORE,5,amazing priceread,Positive
Awesome,0.0,0.0,"The product and pacaging is very good 👌, thank you flipkartREAD MORE",5,product pacaging good thank flipkartread,Positive
Mind-blowing purchase,0.0,0.0,AwesomeREAD MORE,5,awesomeread,Positive
Terrific,0.0,0.0,Very goodREAD MORE,5,goodread,Positive
Just okay,0.0,0.0,Not badREAD MORE,3,badread,Neutral
Classy product,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Classy product,0.0,0.0,"Must buy , value for moneyREAD MORE",5,must buy value moneyread,Positive
Fabulous!,0.0,0.0,ValuableREAD MORE,5,valuableread,Positive
Wonderful,0.0,0.0,SuperREAD MORE,5,superread,Positive
Utterly Disappointed,0.0,0.0,Iam order this cockes are quality is not good and speed is slow bad productREAD MORE,1,iam order cockes quality good speed slow bad productread,Negative
Very Good,0.0,0.0,Good oneREAD MORE,4,good oneread,Positive
Good,0.0,0.0,Not good and bottom of corck damage early when we ply not sticky we believe Yonex but this was not  good productREAD MORE,3,good bottom corck damage early ply sticky believe yonex good productread,Neutral
Best in the market!,0.0,0.0,Very good goodREAD MORE,5,good goodread,Positive
Simply awesome,0.0,0.0,Very good qualityREAD MORE,5,good qualityread,Positive
Pretty good,0.0,0.0,WorthyREAD MORE,4,worthyread,Positive
Delightful,0.0,0.0,Product is good.READ MORE,4,product goodread,Positive
Really Nice,0.0,0.0,Good productREAD MORE,4,good productread,Positive
Best in the market!,0.0,0.0,Nice packing  good qualityREAD MORE,5,nice packing good qualityread,Positive
Perfect product!,0.0,0.0,OkREAD MORE,5,okread,Positive
Nice product,0.0,0.0,Nice productREAD MORE,4,nice productread,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Best in the market!,0.0,0.0,Best badminton shuttle nothing is better than this product Just a little expensive but is the best !READ MORE,5,best badminton shuttle nothing better product little expensive best read,Positive
Nice,0.0,0.0,The price of this product is highREAD MORE,3,price product highread,Neutral
Delightful,0.0,0.0,SuperbREAD MORE,4,superbread,Positive
Fabulous!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Not good,0.0,0.0,Speed of the shuttle is not not as per standard Yonex Mavis 350?READ MORE,2,speed shuttle per standard yonex mavis read,Negative
Excellent,0.0,0.0,Good qualityREAD MORE,5,good qualityread,Positive
Best in the market!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Highly recommended,0.0,0.0,Good you such definetely go for it 👍👍🤞READ MORE,5,good definetely go read,Positive
Waste of money!,0.0,0.0,GoodREAD MORE,1,goodread,Negative
Must buy!,0.0,0.0,Good ProductAwesome Delivery Nice Durability Highly Recommended 🥰🥰READ MORE,5,good productawesome delivery nice durability highly recommended read,Positive
Fair,0.0,0.0,Some shuttles are worst.READ MORE,3,shuttles worstread,Neutral
Good choice,0.0,0.0,ExcellentREAD MORE,4,excellentread,Positive
Terrific purchase,0.0,0.0,BestREAD MORE,5,bestread,Positive
Good quality product,0.0,0.0,Not badREAD MORE,4,badread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Perfect product!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Good choice,0.0,0.0,Very niceREAD MORE,4,niceread,Positive
Worth every penny,0.0,0.0,GodREAD MORE,5,godread,Positive
Excellent,0.0,0.0,excellentREAD MORE,5,excellentread,Positive
Excellent,0.0,0.0,This is perfectREAD MORE,5,perfectread,Positive
Awesome,0.0,0.0,goodREAD MORE,5,goodread,Positive
Slightly disappointed,0.0,0.0,"I don't think it is Mavis 350, quality is badREAD MORE",2,dont think mavis quality badread,Negative
Great product,0.0,0.0,Very good qualityREAD MORE,5,good qualityread,Positive
Worth every penny,0.0,0.0,Excellent productREAD MORE,5,excellent productread,Positive
Not good,0.0,0.0,Quality is not goodREAD MORE,2,quality goodread,Negative
Really Nice,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Absolute rubbish!,0.0,0.0,Worst Quality.....READ MORE,1,worst qualityread,Negative
Brilliant,0.0,0.0,ok okREAD MORE,5,ok okread,Positive
Awesome,0.0,0.0,Good one... Little more quality requiredREAD MORE,5,good one little quality requiredread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Wonderful,0.0,0.0,Perfect to playREAD MORE,5,perfect playread,Positive
Brilliant,0.0,0.0,Tq okREAD MORE,5,tq okread,Positive
Terrific,0.0,0.0,Genuine product.READ MORE,5,genuine productread,Positive
Excellent,0.0,0.0,Excellent balanceREAD MORE,5,excellent balanceread,Positive
Useless product,0.0,0.0,Too expensiveREAD MORE,1,expensiveread,Negative
Best in the market!,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Great product,0.0,0.0,Gud to playREAD MORE,5,gud playread,Positive
Very Good,0.0,0.0,Value for money 💵 buy it again ☺️READ MORE,4,value money buy read,Positive
Super!,0.0,0.0,Very..good product.. i really... impressedREAD MORE,5,verygood product really impressedread,Positive
Brilliant,0.0,0.0,Superb corckREAD MORE,5,superb corckread,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Worthless,0.0,0.0,We play 2 hours daily and none of this lasted a whole day. Poor quality .READ MORE,1,play hours daily none lasted whole day poor quality read,Negative
Mind-blowing purchase,0.0,0.0,SuperREAD MORE,5,superread,Positive
Super!,0.0,0.0,We use always this.super.READ MORE,5,use always thissuperread,Positive
Good,0.0,0.0,Nice 🙂READ MORE,3,nice read,Neutral
Does the job,0.0,0.0,Not so bad and not so good.Average product .READ MORE,3,bad goodaverage product read,Neutral
Delightful,0.0,0.0,niceREAD MORE,4,niceread,Positive
Great product,0.0,0.0,Gods productREAD MORE,5,gods productread,Positive
Perfect product!,0.0,0.0,Quality of the product is very good and it's quite genuine productREAD MORE,5,quality product good quite genuine productread,Positive
Terrific purchase,0.0,0.0,Very good...Durable...READ MORE,5,gooddurableread,Positive
Must buy!,0.0,0.0,There is no one better than yonex MavisREAD MORE,5,one better yonex mavisread,Positive
Really Nice,0.0,0.0,I m using mavis 350 since 5 years.. I would have given 5 stars but -1 star for condition of barrel received. However shuttles are in good condition as it is nylon.Delivery was good received the item within three days.READ MORE,4,using mavis since years would given stars star condition barrel received however shuttles good condition nylondelivery good received item within three daysread,Positive
Nice product,0.0,0.0,Bad packings shuttle complicatedREAD MORE,4,bad packings shuttle complicatedread,Positive
Very Good,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Excellent,0.0,0.0,Original made in japanREAD MORE,5,original made japanread,Positive
Brilliant,0.0,0.0,This is best for beginners and professionalREAD MORE,5,best beginners professionalread,Positive
Perfect product!,0.0,0.0,Nice Product.READ MORE,5,nice productread,Positive
Excellent,0.0,0.0,Super productREAD MORE,5,super productread,Positive
Wonderful,0.0,0.0,MassiveREAD MORE,5,massiveread,Positive
Pretty good,0.0,0.0,NiceREAD MORE,4,niceread,Positive
Good choice,0.0,0.0,SuperREAD MORE,4,superread,Positive
Highly recommended,0.0,0.0,Go for it without any second thoughtsREAD MORE,5,go without second thoughtsread,Positive
Horrible,0.0,0.0,This is not original Yonex Mavis 350. It is a useless cork with the look and branding of Yonex Mavis 350. It won’t last for more than 2 gamesREAD MORE,1,original yonex mavis useless cork look branding yonex mavis wont last gamesread,Negative
Terrific,0.0,0.0,goodREAD MORE,5,goodread,Positive
Best in the market!,0.0,0.0,excellentREAD MORE,5,excellentread,Positive
Best in the market!,0.0,0.0,No need mention anything it's always the bestREAD MORE,5,need mention anything always bestread,Positive
Just wow!,0.0,0.0,Excellent qualityREAD MORE,5,excellent qualityread,Positive
Terrific purchase,0.0,0.0,Super Quality mind blowingREAD MORE,5,super quality mind blowingread,Positive
Best in the market!,0.0,0.0,Good shuttlesREAD MORE,5,good shuttlesread,Positive
Fabulous!,0.0,0.0,All the shuttle are so niceREAD MORE,5,shuttle niceread,Positive
Must buy!,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Super!,0.0,0.0,Awesome must buyREAD MORE,5,awesome must buyread,Positive
Brilliant,0.0,0.0,G9odREAD MORE,5,godread,Positive
Simply awesome,0.0,0.0,Good quality ☺️READ MORE,5,good quality read,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Super!,0.0,0.0,The best productREAD MORE,5,best productread,Positive
Delightful,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Brilliant,0.0,0.0,"This is my 2nd purchase for same product Good shuttle as compared to othersI don't know but the mavis350 I bought from Flipkart is very very sturdy, nylon skirt gets ripped but cork doesn't get loose or came out of single shuttle and it's good for me We use those ripped shuttle for warm up👍READ MORE",5,nd purchase product good shuttle compared othersi dont know mavis bought flipkart sturdy nylon skirt gets ripped cork doesnt get loose came single shuttle good use ripped shuttle warm upread,Positive
Very Good,0.0,0.0,Good productREAD MORE,4,good productread,Positive
Good choice,0.0,0.0,"High durability, long lasting,READ MORE",4,high durability long lastingread,Positive
Really Nice,0.0,0.0,Long life and good qualityREAD MORE,4,long life good qualityread,Positive
Best in the market!,0.0,0.0,Good quality. Genuine product.READ MORE,5,good quality genuine productread,Positive
Good,0.0,0.0,SuparREAD MORE,3,suparread,Neutral
Fabulous!,0.0,0.0,SupperREAD MORE,5,supperread,Positive
Great product,0.0,0.0,Nic oneREAD MORE,5,nic oneread,Positive
Just wow!,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Best in the market!,0.0,0.0,Product is good and worth of every penny.READ MORE,5,product good worth every pennyread,Positive
Good choice,0.0,0.0,goodREAD MORE,4,goodread,Positive
Super!,0.0,0.0,For a player it's goodREAD MORE,5,player goodread,Positive
Terrific,0.0,0.0,Super qulittREAD MORE,5,super qulittread,Positive
Super!,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Highly recommended,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Delightful,0.0,0.0,Good has company brandREAD MORE,4,good company brandread,Positive
Wonderful,0.0,0.0,Value for moneyREAD MORE,5,value moneyread,Positive
Fabulous!,0.0,0.0,Shuttle is very good perfect for badminton playersREAD MORE,5,shuttle good perfect badminton playersread,Positive
Wonderful,0.0,0.0,Nice itemREAD MORE,5,nice itemread,Positive
Terrific,0.0,0.0,Good for playing shuttleREAD MORE,5,good playing shuttleread,Positive
Wonderful,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Worth the money,0.0,0.0,Superb for outdoor. Nice QualityREAD MORE,4,superb outdoor nice qualityread,Positive
Simply awesome,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Terrific purchase,0.0,0.0,Value for money💯💯READ MORE,5,value moneyread,Positive
Awesome,0.0,0.0,Very nice shuttle and speedREAD MORE,5,nice shuttle speedread,Positive
Mind-blowing purchase,0.0,0.0,Good and durability is also goodREAD MORE,5,good durability also goodread,Positive
Brilliant,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Highly recommended,0.0,0.0,"Good,READ MORE",5,goodread,Positive
Brilliant,0.0,0.0,Excellent shuttle for outdoor use. And can last for 2-3 daysREAD MORE,5,excellent shuttle outdoor use last daysread,Positive
Good choice,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Value-for-money,0.0,0.0,It is so goodREAD MORE,4,goodread,Positive
Good quality product,0.0,0.0,GoodREAD MORE,4,goodread,Positive
Awesome,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Wonderful,0.0,0.0,Good productREAD MORE,5,good productread,Positive
Awesome,0.0,0.0,Original . Awesome. Love to FlipkartREAD MORE,5,original awesome love flipkartread,Positive
Awesome,0.0,0.0,GudREAD MORE,5,gudread,Positive
Classy product,0.0,0.0,"Very good , but expensive . Try it.READ MORE",5,good expensive try itread,Positive
Super!,0.0,0.0,NiceREAD MORE,5,niceread,Positive
Nice,0.0,0.0,First time damage product and next time give the good product.READ MORE,3,first time damage product next time give good productread,Neutral
Brilliant,0.0,0.0,Great product😇READ MORE,5,great productread,Positive
Classy product,0.0,0.0,Awesome 👌READ MORE,5,awesome read,Positive
Value-for-money,0.0,0.0,Worth for money good oneREAD MORE,4,worth money good oneread,Positive
Mind-blowing purchase,0.0,0.0,VEERY GOOD PRDUCTREAD MORE,5,veery good prductread,Positive
Fabulous!,0.0,0.0,Perfect for indoor games..READ MORE,5,perfect indoor gamesread,Positive
Worth every penny,0.0,0.0,Very Good Quality Provided By Flipkart!READ MORE,5,good quality provided flipkartread,Positive
Excellent,0.0,0.0,Good product...READ MORE,5,good productread,Positive
Nice product,0.0,0.0,Good productREAD MORE,4,good productread,Positive
Just wow!,0.0,0.0,Very goodREAD MORE,5,goodread,Positive
Wonderful,0.0,0.0,ExcellentREAD MORE,5,excellentread,Positive
Super!,0.0,0.0,Shuttlecock quality is much more betterREAD MORE,5,shuttlecock quality much betterread,Positive
Bad quality,0.0,0.0,The shuttles areREAD MORE,2,shuttles areread,Negative
Super!,0.0,0.0,Perfect for intermediate level of playingREAD MORE,5,perfect intermediate level playingread,Positive
Simply awesome,0.0,0.0,Good product for yonex and good service for FlipkartREAD MORE,5,good product yonex good service flipkartread,Positive
Best in the market!,0.0,0.0,It's good I really appreciateREAD MORE,5,good really appreciateread,Positive
Must buy!,0.0,0.0,Excellent shuttle.....READ MORE,5,excellent shuttleread,Positive
Good choice,0.0,0.0,Nice oneREAD MORE,4,nice oneread,Positive
Brilliant,0.0,0.0,WorthyREAD MORE,5,worthyread,Positive
Highly recommended,0.0,0.0,I am happyREAD MORE,5,happyread,Positive
Excellent,0.0,0.0,Kollam superREAD MORE,5,kollam superread,Positive
Just wow!,0.0,0.0,Genuine product...thanks flipkartREAD MORE,5,genuine productthanks flipkartread,Positive
Terrific,0.0,0.0,Very good productREAD MORE,5,good productread,Positive
Did not meet expectations,0.0,0.0,This time not good soREAD MORE,1,time good soread,Negative
Very poor,0.0,0.0,Not worth for even single star.READ MORE,1,worth even single starread,Negative
Value-for-money,0.0,0.0,Fine oneREAD MORE,4,fine oneread,Positive
Great product,0.0,0.0,GoodREAD MORE,5,goodread,Positive
Did not meet expectations,0.0,0.0,Very poor QualityREAD MORE,1,poor qualityread,Negative
Very poor,0.0,0.0,Quality was not good after playing one or two games the bottom came off the shuttle.READ MORE,1,quality good playing one two games bottom came shuttleread,Negative
